City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Cairns,AU,-16.9167,145.7667,88.11,68,75,21.85,broken clouds
302,Tsiroanomandidy,MG,-18.7667,46.0333,68.49,89,92,3.44,overcast clouds
303,Pyaozerskiy,RU,65.8333,31.1667,29.5,96,100,9.6,light snow
304,Luderitz,NA,-26.6481,15.1594,71.06,67,1,9.8,clear sky
305,Saldanha,ZA,-33.0117,17.9442,66.25,90,0,14.07,clear sky
306,Chokurdakh,RU,70.6333,147.9167,-14.03,97,83,8.32,broken clouds
307,Troitskoye,RU,52.9821,84.6757,18.81,94,100,9.66,light snow
308,Contamana,PE,-7.3333,-75.0167,72.7,96,100,1.12,overcast clouds
309,Glen Carbon,US,38.7484,-89.9832,23.32,74,0,6.91,clear sky
310,Elko,US,41.0002,-115.5012,43.05,40,0,4.0,clear sky
311,Wilmington Island,US,32.0036,-80.9737,53.58,37,0,11.5,clear sky
312,Marawi,PH,7.9986,124.2928,72.64,56,99,2.77,overcast clouds
313,Rabo De Peixe,PT,37.8,-25.5833,57.27,82,75,4.61,broken clouds
314,Ho Chi Minh City,VN,10.75,106.6667,86.02,62,40,3.44,scattered clouds
315,Altay,CN,47.8667,88.1167,10.74,77,100,3.62,overcast clouds
316,Baiyin,CN,36.5583,104.2081,27.48,76,7,3.0,clear sky
317,Cedar City,US,37.6775,-113.0619,48.4,24,0,8.05,clear sky
318,Iskateley,RU,67.6803,53.1512,-1.89,98,31,9.8,scattered clouds
319,Port Moresby,PG,-9.4431,147.1797,89.02,55,40,11.5,haze
320,Labuhan,ID,-6.8844,112.2051,78.3,86,92,5.44,moderate rain
321,Richards Bay,ZA,-28.783,32.0377,76.5,89,100,8.95,light rain
322,Balotra,IN,25.8333,72.2333,58.3,31,0,2.59,clear sky
323,Harper,LR,4.375,-7.7169,76.98,87,32,3.74,scattered clouds
324,Novikovo,RU,51.1537,37.8879,12.45,91,61,5.86,broken clouds
325,Verkhoyansk,RU,67.5447,133.385,-15.36,87,96,1.43,overcast clouds
326,Jibuti,DJ,11.5,42.5,71.02,79,6,6.73,clear sky
327,Duns,GB,55.777,-2.3457,41.56,93,100,13.98,overcast clouds
328,Narsaq,GL,60.9167,-46.05,21.42,96,100,7.07,light snow
329,Xining,CN,36.6167,101.7667,17.15,60,50,1.92,scattered clouds
330,Ketchikan,US,55.3422,-131.6461,44.58,93,100,3.44,light rain
331,Petropavlovskoye,RU,52.0712,84.107,18.27,82,100,6.76,overcast clouds
332,Twentynine Palms,US,34.1356,-116.0542,69.66,9,2,2.15,clear sky
333,Hualmay,PE,-11.0964,-77.6139,71.38,80,100,9.6,overcast clouds
334,Rolante,BR,-29.6506,-50.5758,69.66,99,24,1.59,few clouds
335,Mumford,GH,5.2618,-0.759,78.84,85,97,7.11,light rain
336,Huarmey,PE,-10.0681,-78.1522,72.77,78,86,7.63,overcast clouds
337,Asfi,MA,32.2994,-9.2372,55.47,83,19,7.67,few clouds
338,Saryozek,KZ,44.3583,77.9753,22.15,79,100,2.15,overcast clouds
339,Tabou,CI,4.423,-7.3528,76.86,88,91,4.05,overcast clouds
340,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,26.46,light snow
341,Sorland,NO,67.667,12.6934,34.38,60,99,27.45,light snow
342,Bure,ET,10.7,37.0667,58.95,46,5,4.43,clear sky
